ADN	deoxyribonucleic acid	Life sciences > Cell biology
ADN polimerasa	DNA polymerase	Life sciences > Biochemistry and Molecular Biology
ADN polimerasa	DNA polimerase	Medical Sciences > Microbiology
adquisición	acquisition	Technological Sciences > Projects
adquisición	acquisition	Technological Sciences > Instrumentation technology
adrenalina	adrenaline	Chemistry > Organic chemistry
adrenalina	adrenaline	Chemistry > Analytical chemistry
aerobiosis	aerobiosis	Life sciences > Microbiology
aerobiosis	aerobic conditions	Life sciences > Biochemistry and Molecular Biology
afinidad	affinity	Technological Sciences > Environmental technology and engineering
afinidad	affinity	Life sciences > Cell biology
afinidad	affinity	Chemistry > Analytical chemistry
afinidad	afinity	Life sciences > Animal Biology
afinidad	affinity	Medical Sciences > Pharmacology
afinidad	affinity	Medical Sciences > Pharmaceutical Technology
afinidad	affinity	Life sciences > Biochemistry and Molecular Biology
afirmación	affirmation; assertion	Mathematics > Analysis and functional analysis
afirmación	assertion	Mathematics > Statistics
afirmación	affirmation	Mathematics > Algebra
afloramiento	upwelling	Earth and Space Sciences > Metereology and Oceanography
afloramiento	outcrop	Earth and Space Sciences > Geology
agente	agent	Medical Sciences > Medical diagnostic and Treatment Technology
agente	agent	Medical Sciences > Pharmaceutical Technology
agua marina	seawater	Life sciences > Animal Biology
agua marina	sea water	Technological Sciences > Environmental technology and engineering
ahorro	saving	Economic Sciences > General economics
ahorro	saving	Economic Sciences > Organization and management of enterprises
ahorro	saving	Economic Sciences > Economic theory
ahorro privado	private saving	Economic Sciences > Economic theory
ahorro privado	private savings	Economic Sciences > General economics
ahorro público	public savings	Economic Sciences > General economics
ahorro público	public saving	Economic Sciences > Economic theory
aireación	aeration	Technological Sciences > Environmental technology and engineering
aireación	ventilation	Technological Sciences > Food technology
aislador	insulator	Technological Sciences > Electrical technology and engineering
aislador	isolator	Physics > Electro-magnetism
aislador	isolator	Technological Sciences > Telecommunications technology
aislamiento	insulation; isolation	Technological Sciences > Electrical technology and engineering
aislamiento	isolation	Medical Sciences > Public health
aislamiento	insulation; isolation; isolement	Technological Sciences > Construction technology
aislamiento	isolate	Medical Sciences > Microbiology
aislamiento	insulation	Technological Sciences > Electronic technology
aislamiento	insulation	Chemistry > Physical chemistry
aislamiento	isolation	Technological Sciences > Projects
aislamiento	isolation	Life sciences > Microbiology
